PWM,human_TF,mouse_TF,ID,NR_sites,References,Superclass,Class,Family,Subfamily
BU0064.Sox14_primary,SOX14,Sox14,SOX14_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group B
BU0065.Sox15_primary,SOX15,Sox15,SOX15_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group G
BU0066.Sox17_primary,SOX17,Sox17,SOX17_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group F
BU0067.Sox18_primary,SOX18,Sox18,SOX18_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group F
BU0068.Sox1_primary,SOX1,Sox1,SOX1_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group B
BU0069.Sox21_primary,SOX21,Sox21,SOX21_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group B
BU0070.Sox30_primary,SOX30,Sox30,SOX30_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group H
BU0071.Sox4_primary,SOX4,Sox4,SOX4_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group C
BU0072.Sox5_primary,SOX5,Sox5,SOX5_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group D
BU0073.Sox7_primary,SOX7,Sox7,SOX7_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group F
BU0074.Sox8_primary,SOX8,Sox8,SOX8_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group E
BU0075.Sp100_primary,SP100,Sp100,SP100_001,1000,"Badis G et al., Science 2009",alpha-Helices exposed by beta-structures,SAND domain factors,Sp140/Sp100,Sp100
BU0076.Sp4_primary,SP4,Sp4,SP4_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,Three-zinc finger Kruppel-related factors,Sp1-like factors
BU0077.Spdef_primary,SPDEF,Spdef,SPDEF_001,1000,"Badis G et al., Science 2009",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,SPDEF-like factors
BU0078.Srf_primary,SRF,Srf,SRF_001,1000,"Badis G et al., Science 2009",alpha-Helices exposed by beta-structures,MADS box factors,Responders to external signals (SRF/RLM1),Responders to external signals (SRF/RLM1)
BU0079.Sry_primary,SRY,Sry,SRY_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,SOX-related factors,Group A
BU0080.Tbp_primary,TBP,Tbp,TBP_002,1000,"Badis G et al., Science 2009",beta-Sheet binding to DNA,TATA-binding proteins,TBP-related factors,TBP-related factors
BU0081.Tcf1_primary,TCF7,Tcf7,TCF7_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,TCF-7-related factors,TCF-7-related factors
BU0082.Tcf3_primary,TCF3,Tcf3,TCF3_001,1000,"Badis G et al., Science 2009",Basic domains,Basic helix-loop-helix factors (bHLH),E2A-related factors,E2A-related factors
BU0083.Tcf7_primary,TCF7,Tcf7,TCF7_002,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,TCF-7-related factors,TCF-7-related factors
BU0084.Tcf7l2_primary,TCF7L2,Tcf7l2,TCF7L2_001,1000,"Badis G et al., Science 2009",Other all-alpha-helical DNA-binding domains,High-mobility group (HMG) domain factors,TCF-7-related factors,TCF-7-related factors
BU0085.Tcfap2a_primary,TFAP2A,Tfap2a ,TFAP2A_001,1000,"Badis G et al., Science 2009",Basic domains,Basic helix-span-helix factors (bHSH),AP-2,AP-2
BU0086.Tcfap2b_primary,TFAP2B,Tfap2b ,TFAP2B_001,1000,"Badis G et al., Science 2009",Basic domains,Basic helix-span-helix factors (bHSH),AP-2,AP-2
BU0087.Tcfap2c_primary,TFAP2C,Tfap2c,TFAP2C_001,997,"Badis G et al., Science 2009",Basic domains,Basic helix-span-helix factors (bHSH),AP-2,AP-2
BU0088.Tcfap2e_primary,TFAP2E,Tfap2e,TFAP2E_001,1000,"Badis G et al., Science 2009",Basic domains,Basic helix-span-helix factors (bHSH),AP-2,AP-2
BU0089.Tcfe2a_primary,TCF3,Tcf3,TCF3_002,1000,"Badis G et al., Science 2009",Basic domains,Basic helix-loop-helix factors (bHLH),E2A-related factors,E2A-related factors
BU0090.Zbtb12_primary,ZBTB12,Zbtb12,ZBTB12_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,ZBTB6-like factors
BU0092.Zbtb7b_primary,ZBTB7B,Zbtb7b,ZBTB7B_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,ZBTB7 factors
BU0093.Zfp105_primary,ZNF35,Zfp105,ZNF35_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,unclassified
BU0094.Zfp128_primary,ZNF8,Zfp128,ZNF8_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,unclassified
BU0095.Zfp161_primary,VEZF1,Vezf1,VEZF1_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,MAZ-like factors
BU0096.Zfp187_primary,ZSCAN26,Zscan26,ZSCAN26_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,unclassified
BU0097.Zfp281_primary,ZNF281,Znf281,ZNF281_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,ZNF148-like factors
BU0098.Zfp410_primary,ZNF410,Znf410,ZNF410_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,unclassified
BU0099.Zfp691_primary,ZNF691,Zfp691,ZNF691_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,unclassified
BU0100.Zfp740_primary,ZNF740,Zfp740,ZNF740_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,Other factors with up to three adjacent zinc fingers,Other three adjacent zinc finger factors
BU0101.Zic1_primary,ZIC1,Zic1,ZIC1_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,GLI-like factors
BU0102.Zic2_primary,ZIC2,Zic2,ZIC2_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,GLI-like factors
BU0103.Zic3_primary,ZIC3,Zic3,ZIC3_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,GLI-like factors
BU0104.Zscan4_primary,ZSCAN4,Zscan4,ZSCAN4_001,1000,"Badis G et al., Science 2009",Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,ZSCAN5-like zinc finger factors
CDC5L_HUMAN.H10MO.D,CDC5L,Cdc5l,CDC5L_001,10,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Myb/SANT domain factors,Myb-like factors
CDX1_HUMAN.H10MO.C,CDX1,Cdx1,CDX1_003,30,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,HOX-related factors,CDX (Caudal type homeobox)
CDX2_HUMAN.H10MO.C,CDX2,Cdx2,CDX2_004,36,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,HOX-related factors,CDX (Caudal type homeobox)
CEBPA_HUMAN.H10MO.A,CEBPA,Cebpa,CEBPA_004,500,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),C/EBP-related,C/EBP
CEBPB_HUMAN.H10MO.A,CEBPB,Cebpb,CEBPB_005,405,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),C/EBP-related,C/EBP
CEBPD_HUMAN.H10MO.B,CEBPD,Cebpd,CEBPD_002,77,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),C/EBP-related,C/EBP
CEBPE_HUMAN.H10MO.A,CEBPE,Cebpe,CEBPE_002,812,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),C/EBP-related,C/EBP
CEBPG_HUMAN.H10MO.C,CEBPG,Cebpg,CEBPG_003,22,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),C/EBP-related,C/EBP
COE1_HUMAN.H10MO.A,EBF1,Ebf1,EBF1_004,500,HOCOMOCO v10,Immunoglobulin fold,Rel homology region (RHR) factors,Early B-Cell Factor-related factors,Early B-Cell Factor-related factors
COT1_HUMAN.H10MO.B,NR2F1,Nr2f1,NR2F1_006,83,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,RXR-related receptors (NR2),COUP-like receptors (NR2F)
COT1_HUMAN.H10MO.S,NR2F1,Nr2f1,NR2F1_007,82,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,RXR-related receptors (NR2),COUP-like receptors (NR2F)
COT2_HUMAN.H10MO.A,NR2F2,Nr2f2,NR2F2_002,500,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,RXR-related receptors (NR2),COUP-like receptors (NR2F)
COT2_HUMAN.H10MO.S,NR2F2,Nr2f2,NR2F2_003,79,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,RXR-related receptors (NR2),COUP-like receptors (NR2F)
CR3L1_HUMAN.H10MO.D,CREB3L1,Creb3l1,CREB3L1_007,30982,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),CREB-related factors,CREB-3-like factors
CR3L2_HUMAN.H10MO.D,CREB3L2,Creb3l2,CREB3L2_003,1219,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),CREB-related factors,CREB-3-like factors
CREB1_HUMAN.H10MO.A,CREB1,Creb1,CREB1_003,494,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),CREB-related factors,CREB-like factors
CREB3_HUMAN.H10MO.D,CREB3,Creb3,CREB3_003,93,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),CREB-related factors,CREB-3-like factors
CREB5_HUMAN.H10MO.D,CREB5,Creb5,CREB5_002,1702,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),Jun-related factors,ATF-2-like factors
CREM_HUMAN.H10MO.C,CREM,Crem,CREM_001,30,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),CREB-related factors,CREB-like factors
CRX_HUMAN.H10MO.C,CRX,Crx,CRX_003,52,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,Paired-related HD factors,OTX
CTCF_HUMAN.H10MO.A,CTCF,Ctcf,CTCF_004,490,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,CTCF-like factors
CTCFL_HUMAN.H10MO.A,CTCFL,Ctcfl,CTCFL_001,500,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,CTCF-like factors
CUX1_HUMAN.H10MO.C,CUX1,Cux1,CUX1_006,97,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,HD-CUT factors,CUX
CUX2_HUMAN.H10MO.D,CUX2,Cux2,CUX2_003,26536,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,HD-CUT factors,CUX
CXXC1_HUMAN.H10MO.D,CXXC1,Cxxc1,CXXC1_001,58,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,CXXC zinc finger factors,CpG-binding proteins,CpG-binding proteins
DBP_HUMAN.H10MO.B,DBP,Dbp,DBP_004,25,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),C/EBP-related,PAR factors
DDIT3_HUMAN.H10MO.C,DDIT3,Ddit3,DDIT3_001,41,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),C/EBP-related,C/EBP
DLX1_HUMAN.H10MO.D,DLX1,Dlx1,DLX1_004,16252,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,NK-related factors,DLX
DLX3_HUMAN.H10MO.C,DLX3,Dlx3,DLX3_003,34,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,NK-related factors,DLX
DLX4_HUMAN.H10MO.D,DLX4,Dlx4,DLX4_003,2355,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,NK-related factors,DLX
DLX5_HUMAN.H10MO.D,DLX5,Dlx5,DLX5_003,1101,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,NK-related factors,DLX
DLX6_HUMAN.H10MO.D,DLX6,Dlx6,DLX6_002,1138,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,NK-related factors,DLX
DMBX1_HUMAN.H10MO.D,DMBX1,Dmbx1,DMBX1_003,29,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,Paired-related HD factors,DMBX
DPRX_HUMAN.H10MO.D,DPRX,-,DPRX_003,46561,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,Paired-related HD factors,DPRX
DRGX_HUMAN.H10MO.D,DRGX,Prrxl1,DRGX_002,10531,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,Paired-related HD factors,DRGX
DUXA_HUMAN.H10MO.D,DUXA,-,DUXA_002,2685,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,Paired-related HD factors,DUX
E2F1_HUMAN.H10MO.A,E2F1,E2f1,E2F1_007,2135,HOCOMOCO v10,Helix-turn-helix domains,Fork head / winged helix factors,E2F-related factors,E2F
E2F3_HUMAN.H10MO.B,E2F3,E2f3,E2F3_006,12,HOCOMOCO v10,Helix-turn-helix domains,Fork head / winged helix factors,E2F-related factors,E2F
E2F4_HUMAN.H10MO.A,E2F4,E2f4,E2F4_004,2075,HOCOMOCO v10,Helix-turn-helix domains,Fork head / winged helix factors,E2F-related factors,E2F
E2F5_HUMAN.H10MO.B,E2F5,E2f5,E2F5_001,12,HOCOMOCO v10,Helix-turn-helix domains,Fork head / winged helix factors,E2F-related factors,E2F
E2F6_HUMAN.H10MO.C,E2F6,E2f6,E2F6_002,1864,HOCOMOCO v10,Helix-turn-helix domains,Fork head / winged helix factors,E2F-related factors,E2F
E2F8_HUMAN.H10MO.D,E2F8,E2f8,E2F8_002,28,HOCOMOCO v10,Helix-turn-helix domains,Fork head / winged helix factors,E2F-related factors,E2F
EGR1_HUMAN.H10MO.A,EGR1,Egr1,EGR1_007,500,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,Three-zinc finger Kruppel-related factors,EGR factors
EGR1_HUMAN.H10MO.S,EGR1,Egr1,EGR1_008,1887,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,Three-zinc finger Kruppel-related factors,EGR factors
EGR2_HUMAN.H10MO.C,EGR2,Egr2,EGR2_004,21,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,Three-zinc finger Kruppel-related factors,EGR factors
EHF_HUMAN.H10MO.C,EHF,Ehf,EHF_005,500,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,EHF-like factors
EHF_HUMAN.H10MO.S,EHF,Ehf,EHF_006,400,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,EHF-like factors
ELF1_HUMAN.H10MO.A,ELF1,Elf1,ELF1_005,499,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
ELF2_HUMAN.H10MO.C,ELF2,Elf2,ELF2_004,181,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
ELF3_HUMAN.H10MO.D,ELF3,Elf3,ELF3_005,14,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,EHF-like factors
ELF5_HUMAN.H10MO.D,ELF5,Elf5,ELF5_006,39,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,EHF-like factors
ELK1_HUMAN.H10MO.A,ELK1,Elk1,ELK1_007,160,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ELK4_HUMAN.H10MO.A,ELK4,Elk4,ELK4_005,12709,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
EMX1_HUMAN.H10MO.D,EMX1,Emx1,EMX1_003,30488,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,NK-related factors,EMX
EMX2_HUMAN.H10MO.D,EMX2,Emx2,EMX2_004,35820,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,NK-related factors,EMX
EOMES_HUMAN.H10MO.D,EOMES,Eomes,EOMES_004,375,HOCOMOCO v10,Immunoglobulin fold,T-Box factors,TBrain-related factors,TBrain-related factors
EPAS1_HUMAN.H10MO.D,EPAS1,Epas1,EPAS1_001,12,HOCOMOCO v10,Basic domains,Basic helix-loop-helix factors (bHLH),PAS domain factors,Ahr-like factors
ERG_HUMAN.H10MO.B,ERG,Erg,ERG_007,2441,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ERR1_HUMAN.H10MO.D,ESRRA,Esrra,ESRRA_011,500,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),ER-like receptors (NR3AandB)
ERR2_HUMAN.H10MO.A,ESRRB,Esrrb,ESRRB_004,3662,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),ER-like receptors (NR3AandB)
ERR3_HUMAN.H10MO.B,ESRRG,Esrrg,ESRRG_004,14,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),ER-like receptors (NR3AandB)
ESR1_HUMAN.H10MO.A,ESR1,Esr1,ESR1_003,483,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),ER-like receptors (NR3AandB)
ESR1_HUMAN.H10MO.S,ESR1,Esr1,ESR1_004,525,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),ER-like receptors (NR3AandB)
ESR2_HUMAN.H10MO.A,ESR2,Esr2,ESR2_003,500,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),ER-like receptors (NR3AandB)
ESR2_HUMAN.H10MO.S,ESR2,Esr2,ESR2_004,371,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),ER-like receptors (NR3AandB)
ESX1_HUMAN.H10MO.D,ESX1,Esx1,ESX1_004,8260,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,Paired-related HD factors,ESX
ETS0001.h-EHF,EHF,Ehf,EHF_002,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,EHF-like factors
ETS0002.h-ELF1,ELF1,Elf1,ELF1_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
ETS0003.h-ELF2,ELF2,Elf2,ELF2_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
ETS0004.h-ELF3,ELF3,Elf3,ELF3_002,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,EHF-like factors
ETS0005.h-ELF4,ELF4,Elf4,ELF4_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
ETS0006.h-ELF5,ELF5,Elf5,ELF5_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,EHF-like factors
ETS0007.h-Elk1,ELK1,Elk1,ELK1_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETS0008.h-Elk3,ELK3,Elk3,ELK3_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETS0009.h-Elk4,ELK4,Elk4,ELK4_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETS0010.h-ERF,ERF,Erf,ERF_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0011.h-ERG,ERG,Erg,ERG_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0012.h-ETS1,ETS1,Ets1,ETS1_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0013.h-ETS2,ETS2,Ets2,ETS2_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0014.h-ETV1,ETV1,Etv1,ETV1_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETS0015.h-ETV2,ETV2,Etv2,ETV2_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0016.h-ETV3,ETV3,Etv3,ETV3_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0017.h-ETV4,ETV4,Etv4,ETV4_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETS0018.h-ETV5,ETV5,Etv5,ETV5_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETS0019.h-ETV6,ETV6,Etv6,ETV6_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,ETV6-like factors
ETS0020.h-ETV7,ETV7,-,ETV7_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,ETV6-like factors
ETS0021.h-FEV,FEV,Fev,FEV_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0022.h-Fli1,FLI1,Fli1,FLI1_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0023.h-GABPA,GABPA,Gabpa,GABPA_002,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS0024.h-SPDEF,SPDEF,Spdef,SPDEF_002,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,SPDEF-like factors
ETS0025.h-SPIB,SPIB,Spib,SPIB_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Spi-like factors
ETS0026.h-SPIC,SPIC,Spic,SPIC_001,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Spi-like factors
ETS0027.h-SPI1,SPI1,Spi1,SPI1_002,100,"Wei GH et al., EMBO 2010",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Spi-like factors
ETS1_HUMAN.H10MO.C,ETS1,Ets1,ETS1_008,147,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETS2_HUMAN.H10MO.C,ETS2,Ets2,ETS2_003,42,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETV1_HUMAN.H10MO.B,ETV1,Etv1,ETV1_003,337,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETV2_HUMAN.H10MO.D,ETV2,Etv2,ETV2_003,907,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETV3_HUMAN.H10MO.D,ETV3,Etv3,ETV3_003,12,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
ETV4_HUMAN.H10MO.B,ETV4,Etv4,ETV4_003,47,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETV5_HUMAN.H10MO.D,ETV5,Etv5,ETV5_003,15,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elk-like factors
ETV6_HUMAN.H10MO.D,ETV6,Etv6,ETV6_004,2039,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,ETV6-like factors
EVI1_HUMAN.H10MO.B,MECOM,Mecom,MECOM_002,141,HOCOMOCO v10,Zinc-coordinating DNA-binding domains,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,Evi-1-like factors
EVX2_HUMAN.H10MO.A,EVX2,Evx2,EVX2_003,500,HOCOMOCO v10,Helix-turn-helix domains,Homeo domain factors,HOX-related factors,EVX (Even-skipped homolog)
FEV_HUMAN.H10MO.C,FEV,Fev,FEV_004,13,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
FIGLA_HUMAN.H10MO.D,FIGLA,Figla,FIGLA_002,159,HOCOMOCO v10,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related factors,Twist-like factors
FLI1_HUMAN.H10MO.A,FLI1,Fli1,FLI1_007,500,HOCOMOCO v10,Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
FOS_HUMAN.H10MO.A,FOS,Fos,FOS_003,500,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),Fos-related factors,Fos factors
FOSB_HUMAN.H10MO.C,FOSB,Fosb,FOSB_001,486,HOCOMOCO v10,Basic domains,Basic leucine zipper factors (bZIP),Fos-related factors,Fos factors
